model_id,model,p,q,experiment,varying_parameter,x,method,method_label,mean,se,paper_repetitions,is_horizontal_reference,source_kind,source_pdf,pdf_page
0,ModelI,100,50,exp2,r_hat,9,SMART_fixed,SMART (fixed ranks),0.00968013,0.00009435,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,11,SMART_fixed,SMART (fixed ranks),0.01049020,0.00008641,100,false,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,1,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,3,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,5,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,7,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,9,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp2,r_hat,11,SMART,SMART,0.00715496,0.00012002,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,0,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,3,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,5,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,7,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,10,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,15,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,20,RRR,RRR,0.02208100,0.00010149,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,0,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,3,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,5,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,7,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,10,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,15,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,20,SRRR,SRRR,0.02226100,0.00011675,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,0,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,3,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
0,ModelI,100,50,exp3,r_s,5,SOFAR,SOFAR,0.02696500,0.00018319,100,true,digitized_pdf_vector,v1/fig_smart/simulation_model1.pdf,1
